Title,Actors,Director
Jeff Daniels,Christopher Morahan,Fanny and Alexander
Corey Haim,Don Lusk,Nightmares
Dennis Hopper,Jerrold Freedman,The Golden Seal
Todd Allen,Nobutaka Nishizawa,The Osterman Weekend
Lucy Deakins,João César Monteiro,Star 80
Tracy Camilla Johns,Robert Mandel,The Sting II
Marc Price,Laurie Anderson,Amityville 3-D
Mary Tyler Moore,Glen Pitre,Chained Heat
Ted Danson,Bob Swaim,Beyond the Limit
Christopher Lambert,Julien Temple,The Hunger
Norman Alden,Federico Fellini,Local Hero
Bob Hoskins,David Drury,Under Fire
Noah Hathaway,Jerry Kramer,Smokey and the Bandit Part 3
Karen Black,Dominic Orlando,A Night in Heaven
Stephen Lang,Fred Dekker,The Star Chamber
Mitchell Gaylord,Evelyn Purcell,The Dresser
Judge Reinhold,Fons Rademakers,Metalstorm: The Destruction of Jared-Syn
Deborah Foreman,Tom Moore,Eddie and the Cruisers
Peter Elliott,Eugene Corr,Curse of the Pink Panther
Kurt McKinney,Bert Convy,Mortuary
Craig Sheffer,Ted Nicolaou,Trenchcoat
Andrew Prine,Moshé Mizrahi,Yellowbeard
Bryan Brown,Trevor Nunn,The Keep
John Lithgow,Paul Schneider,Joysticks
Charlie Sheen,Charles Gormley,Running Brave
Mike Norris,Ken Blancato,Yor
Dexter Gordon,Bud Greenspan,Rumble Fish
Shari Shattuck,Penelope Spheeris,The Man Who Wasn't There
Jonathan Crombie,Emile Ardolino,Table for Five
Gary Oldman,Tom Mankiewicz,Tough Enough
Scott Valentine,Danny DeVito,Man
Daniel Jordano,Paul Verhoeven,Merry Christmas Mr. Lawrence
Mel Blanc,Robert Townsend,Videodrome
David Dukes,William Dear,Screwballs
John Goodman,Chuck Russell,Testament
Linda Carol,Bernardo Bertolucci,Pieces
Scott McGinnis,Michael Gottlieb,Savage Islands
Bill Allen,Chris Columbus,Baby It's You
Jean-Hugues Anglade,Joel Coen,Heat and Dust
Daryl Hannah,Jim Drake,Stryker
Wayne Crawford,John R. Cherry III,Get Crazy
Dominique Michel,Cheech Marin,Lianna
James Remar,Gary Goddard,Strange Invaders
Elisabeth Shue,Jeffrey Bloom,Losin' It
Richard Jordan,Clive Barker,The Lonely Lady
Tom Waits,Elaine May,Of Unknown Origin
Roddy McDowall,Michael Gornick,Getting It On
Victor Love,Tibor Takács,Fire and Ice
Bob Arbogast,Lyndall Hobbs,The Pirates of Penzance
Laura Morante,Amy Holden Jones,Daniel
Laurie Anderson,Christopher Leitch,Streamers
Patsy Kensit,Ethan Wiley,Heart Like a Wheel
Giulietta Masina,Wayne Isham,Rock & Rule
Hugh Duncan Bigney Mitchell,Janice Karman,Indiana Jones and the Temple of Doom
Gabriel Byrne,Sam Raimi,Beverly Hills Cop
Charles Durning,Paul Weiland,Ghostbusters
Cynthia Gibb,Terry Leonard,Gremlins
Jason Lively,John Flynn,The Karate Kid
Derek de Lint,Charlie Loventhal,Romancing the Stone
Annabeth Gish,William Phelps,Police Academy
Chris Lemmon,Phil Joanou,Footloose
Diane Franklin,Kathryn Bigelow,The Terminator
Helena Bonham Carter,David Leland,Star Trek III: The Search for Spock
Pamela Adlon,Hal Sutherland,Splash
Tom Conti,Barbet Schroeder,Purple Rain
Fidel Abrego,Peter Werner,Amadeus
Brett Cullen,Michie Gleason,Tightrope
Scott Strader,Tamar Simon Hoffs,The Natural
Michael Gross,Bruce Pittman,Greystoke: The Legend of Tarzan
James Karen,Raymond Jafelice,Revenge of the Nerds
David McIlwraith,David Mamet,2010
Jennifer Grey,John D. Hancock,Breakin'
Hume Cronyn,Nikita Mikhalkov,Bachelor Party
Lou Diamond Phillips,David Keith,Red Dawn
Shelley Long,Ishmael Bernal,City Heat
Lorraine Gary,Ben Bolt,All of Me
Heather Langenkamp,Stephen Frears,Places in the Heart
John Lone,Rod Amateau,The Killing Fields
Andrew McCarthy,Patricia Rozema,Friday the 13th: The Final Chapter
Kim Basinger,Jeff Burr,Conan the Destroyer
Mark Harmon,Lindsay Anderson,Dune
Jason Patric,Abel Ferrara,Starman
Patrick Dempsey,Bill Froehlich,The Last Starfighter
Cary Elwes,Robert Collector,Cannonball Run II
Jim Varney,David Hugh Jones,Teachers
Christian Bale,Phil Alden Robinson,A Passage to India
Willie,Ron Casden,Protocol
Jim Belushi,Dennis Feldman,The Cotton Club
Eric Stoltz,Norman Mailer,The Muppets Take Manhattan
Dolph Lundgren,Ruggero Deodato,A Nightmare on Elm Street
Louise Fletcher,Lionel Chetwynd,The Woman in Red
Mike Starr,Mary Lambert,Moscow on the Hudson
Andrew Robinson,Élie Chouraqui,The Flamingo Kid
Domenick John,Rick King,Sixteen Candles
Stephen Dorff,Wayne Wang,Missing in Action
Frankie Avalon,Jeff Bleckner,A Soldier's Story
Mark Morales,Dorothy Ann Puzo,Against All Odds
Sebastian Rice-Edwards,Bruce A. Block,Rhinestone
Kyle MacLachlan,Paolo Taviani,Weekend Pass
Jason Bateman,Karen Arthur,Top Secret!
Arye Gross,Nathaniel Gutman,Hot Dog... The Movie
Bon Jovi,Luis Mandoki,The NeverEnding Story
Madonna,Alan Clarke,Unfaithfully Yours
Ross Bagdasarian Jr.,Paul Almond,Best Defense
Bruce Campbell,Po-Chih Leong,Blame It on Rio
Josette Simon,Chuck Martinez,Lassiter
Loren Avedon,Amos Kollek,Angel
Robert Townsend,Jay Russell,Johnny Dangerously
Bill Cosby,Ron Link,Firestarter
Fred Dryer,Rex Bromfield,Beat Street
Helena Carroll,Alfonso Brescia,Breakin' 2: Electric Boogaloo
Matt Adler,Cinzia Th. Torrini,Children of the Corn
Andre Gower,Michael Cacoyannis,Night of the Comet
Casey Siemaszko,John Cornell,Supergirl
Ricky Busker,Peter MacDonald,The Ice Pirates
Adrian Pasdar,David Zucker,The Evil That Men Do
Trudi Cavanagh,Charles Crichton,Irreconcilable Differences
Edward Asner,George Scribner,Dreamscape
Lori Singer,Ron Shelton,Up the Creek
Susanna Hoffs,Dennis Hopper,The River
Bob Dermer,Greg Beeman,Tank
Lindsay Crouse,Kenneth Johnson,Falling in Love
Terry O'Quinn,Craig R. Baxley,Hard to Hold
James Wilby,Carl Schultz,The Wild Life
David Allen Brooks,Dwight H. Little,Broadway Danny Rose
Ric Abernathy,Bud S. Smith,Where the Boys Are
Marcello Mastroianni,Joan Micklin Silver,Thief of Hearts
Whip Hubley,Ramón Menéndez,Terror in the Aisles
Michael E. Knight,Geoff Burrowes,Country
Dina Bonnevie,Brian Gilbert,Bolero
John Allen Nelson,Keenen Ivory Wayans,Body Double
Julie Walters,Donald Petrie,Oxford Blues
Chris Cooper,Annabel Jankel,The Bounty
John Malkovich,Geneviève Robert,1984
Phil Fondacaro,Tony Randel,Reckless
Sheila McCarthy,Newt Arnold,The Philadelphia Experiment
Martin Kove,Andrew Fleming,Streets of Fire
James Russo,Glenn Gordon Caron,Just the Way You Are
Shashi Kapoor,Joan Freeman,The Little Drummer Girl
Lori Lethin,Steven Kampmann,Ninja III: The Domination
Catherine Mary Stewart,Christopher Crowe,Iceman
Spalding Gray,Pedro Almodóvar,Hardbodies
Christine Lahti,John Waters,Alphabet City
Martin Short,Camilo Vila,The Pope of Greenwich Village
John Dye,Aaron Norris,Runaway
Eddie Deezen,Ernest Thompson,Swing Shift
Sarah Torgov,Henry Winkler,The Razor's Edge
Joanne Woodward,Daniel Goldberg,The Adventures of Buckaroo Banzai Across the 8th Dimension
Peter Paul,Mick Garris,Firstborn
Julie Hagerty,Andrew Solt,Racing with the Moon
Michael Moriarty,Mark Goldblatt,Sheena
Chuck Berry,Rick Rubin,The Lonely Guy
Ellen Barkin,Stan Winston,Meatballs Part II
Arsenio Hall,Paul Flaherty,Once Upon a Time in America
Beau Bridges,David Stevens,The Hotel New Hampshire
Dick Rude,Chris Menges,American Dreamer
Eva Gabor,Mira Nair,No Small Affair
Diane Lane,Mike Figgis,Stop Making Sense
Liv Ullmann,Frank LaLoggia,Harry & Son
Michelle Holmes,Charles Sturridge,Grandview
David Yip,Zalman King,C.H.U.D.
Barbara Harris,James Dearden,Making the Grade
Hanna Schygulla,Roger Holzberg,This Is Spinal Tap
Virginia Madsen,Danny Huston,Joy of Sex
Valri Bromfield,Gregory Nava,Mrs. Soffel
Miles O'Keeffe,Errol Morris,Until September
Paul Bates,Danny Bilson,Flashpoint
Bruce Willis,Jon Hess,Cheech & Chong's the Corsican Brothers
Judith Barsi,Anthony Hickox,Exterminator 2
Alec Baldwin,Roger Vadim,The Brother from Another Planet
Joey Lawrence,William Lustig,Crimes of Passion
John Beckman,Janet Greek,The Warrior and the Sorceress
Catherine Hicks,Paul Morrissey,Impulse
Kelly McGillis,Godfrey Reggio,The Bear
Sidney Poitier,Pierre DeCelles,Under the Volcano
Tim Blaney,David Green,Silent Night
Paul Lazar,Nicolas Roeg,Choose Me
Carl Weathers,Amin Q. Chaudhri,Stranger Than Paradise
Bill Pullman,Michael Hoffman,A Sunday in the Country
Bubba Smith,René Laloux,Electric Dreams
Jennifer Banko,Brad Shellady,Paris
Demi Moore,Charlotte Silvera,Purple Hearts
Steven Seagal,Bill Fishman,The Buddy System
Amy Irving,Keith Gordon,Body Rock
Laurence Fishburne,Sollace Mitchell,Misunderstood
Edward James Olmos,Leo Penn,Garbo Talks
Rubén Blades,Harvey Keith,Finders Keepers
Keenen Ivory Wayans,Gary Sinise,Birdy
Roddy Piper,Beau Bridges,The River Rat
Clare Higgins,John Lafia,Mike's Murder
Jean-Claude Van Damme,Francis Megahy,Comfort and Joy
Jackie Mason,John 'Bud' Cardos,The Bostonians
Richard Brooks,Mark Rosenthal,The Power
Daniel Day-Lewis,Giles Foster,Songwriter
Jennifer Rubin,Rip Torn,Scandalous
Michael Kenworthy,Dick Maas,Windy City
Draco Rosa,Richard McCarthy,The Stone Boy
Bono,Paul Golding,Champions
Willem Dafoe,Charles Matthau,Razorback
Justine Bateman,Colin Gregg,Heartbreakers
Kevin Dillon,Eugene Marner,Crackers
Jeremy Irons,Carol Hughes,Repo Man
James Le Gros,Ron Nyswaner,Eureka
Carmen Maura,Kerry Feltham,Back to the Future
Sonny Bono,Joe Johnston,Rocky IV
Bobcat Goldthwait,Jeremiah S. Chechik,Rambo: First Blood Part II
Christine Ebersole,Eddie Murphy,Out of Africa
Ruben Rabasa,William Shatner,The Jewel of the Nile
River Phoenix,Francis Veber,The Color Purple
Robert Downey Jr.,Chris Walas,Cocoon
Jace Alexander,Rowdy Herrington,Witness
Phil Rubenstein,Gary David Goldberg,The Goonies
Jason Beghe,Steven Soderbergh,Spies Like Us
Billy Crystal,Stephen Hopkins,Fletch
Rebecca De Mornay,Cameron Crowe,Commando
Terrence Mann,Steve Kloves,Police Academy 2: Their First Assignment
Don Johnson,Thomas J. Wright,The Breakfast Club
John Lennon,Jim Sheridan,A View to a Kill
Darryl McDaniels,Mark DiSalle,National Lampoon's European Vacation
Tami Erin,Rob Hedden,Mask
Eric Bogosian,Todd Holland,Brewster's Millions
Lance Henriksen,Dominique Othenin-Girard,White Nights
Hal Havins,Peter Bonerz,Pale Rider
Ray Liotta,Kenneth Branagh,Pee-wee's Big Adventure
Jodhi May,Michael Caton-Jones,Jagged Edge
Forest Whitaker,Jeff Blyth,Weird Science
Shafiq Syed,Phillip Noyce,St. Elmo's Fire
Ramon Bieri,Jim Kouf,Mad Max Beyond Thunderdome
Melanie Griffith,Michael Moore,Teen Wolf
Lukas Haas,Zelda Barron,Silverado
Gena Rowlands,Jay Levey,Murphy's Romance
Sherilyn Fenn,Marc Rocco,A Nightmare on Elm Street 2: Freddy's Revenge
Natasha Richardson,Joel Zwick,Desperately Seeking Susan
Randall Adams,Joe Pytka,Prizzi's Honor
Amanda Donohoe,Gus Van Sant,The Last Dragon
Louie Anderson,Pat O'Connor,Agnes of God
Zach Galligan,Carl Schenkel,Fright Night
Tim Daly,Lee Grant,Summer Rental
Sasha Mitchell,Euzhan Palcy,The Emerald Forest
Christie Brinkley,Will Mackenzie,Santa Claus: The Movie
Greg Berg,Graeme Clifford,The Care Bears Movie
Phil Collins,Richard Baskin,Friday the 13th: A New Beginning
Theresa Russell,Paul Bartel,The Black Cauldron
Caron Abellira,Thomas Schlamme,Porky's Revenge
Steven Tyler,Terence H. Winkless,Code of Silence
Pierre-Marie Escourrou,James Isaac,Volunteers
John Dugan,Robert Radler,Young Sherlock Holmes
Pierce Brosnan,Nancy Savoca,Year of the Dragon
Marie-Christine Barrault,John Duigan,Ladyhawke
George Newbern,Alan Bunce,The Sure Thing
John Glover,Jon Amiel,Invasion U.S.A.
Patricia Charbonneau,Michael Lehmann,To Live and Die in L.A.
Joseph Arias,Cedric Sundstrom,The Falcon and the Snowman
Brian Dennehy,Bob Balaban,Kiss of the Spider Woman
Bill Paxton,Michael Fischa,Death Wish 3
Dylan McDermott,Thierry Notz,King Solomon's Mines
George Dzundza,Richard Greenberg,Baby: Secret of the Lost Legend
Urbano Barberini,Michael Herz,Clue
Donovan Leitch Jr.,Al Reinert,Remo Williams: The Adventure Begins
Tyler Butterworth,Bruce Robinson,The Return of the Living Dead
Huub Stapel,Malcolm Mowbray,A Chorus Line
Franc Luz,Jonathan Wacks,Tomboy
Cliff De Young,John Dahl,Follow That Bird
Nicholas Strouse,Obie Benz,One Magic Christmas
Philip Anglim,Damian Harris,Cat's Eye
Sam Bottoms,Jim Wynorski,Vision Quest
Kim Myers,Jim Sotos,Real Genius
Rick Moranis,Dave Thomas,Perfect
Rene Auberjonois,Rupert Hitzig,Compromising Positions
Morgan Freeman,Christopher Guest,Silver Bullet
Dale Midkiff,Rocky Lang,Enemy Mine
Keanu Reeves,John David Coles,Lifeforce
Danny Aiello,Bob Yari,Just One of the Guys
Robert Englund,Jim Wheat,Return to Oz
Sam Elliott,Clive Rees,Krush Groove
Bill Bernstein,Alan Birkinshaw,Gotcha!
Mitch Pileggi,Todd Solondz,Missing in Action 2: The Beginning
Cybill Shepherd,Howard Brookner,The Purple Rose of Cairo
Hulk Hogan,Jenny Bowen,Moving Violations
Todd Caldecott,Henry Jaglom,After Hours
Luke Edwards,Meiert Avis,American Ninja
Kiefer Sutherland,Stephen Sommers,Better Off Dead...
Keith Coogan,Jerry Zucker,Lost in America
Taurean Blacque,Kevin Costner,Once Bitten
Nicole Kidman,Dennis Dugan,Brazil
Ron Silver,Frank Marshall,Explorers
Michael Moore,John Patrick Shanley,The Journey of Natty Gann
'Weird Al' Yankovic,William Peter Blatty,Tuff Turf
Pauline Collins,Hendel Butoy,Sweet Dreams
John Larroquette,Reginald Hudlin,Target
Denzel Washington,Robert Resnikoff,Mischief
Kirk Cameron,Andrew Bergman,The Man with One Red Shoe
Christian Slater,Tom Ropelewski,That Was Then... This Is Now
Lorraine Bracco,Joseph Barbera,Secret Admirer
Jason Gedrick,John Erman,Stick
Tim Robbins,Bob Hathcock,Twice in a Lifetime
Holly Hunter,Deran Sarafian,D.A.R.Y.L.
Don Wilson,Ron Underwood,Runaway Train
Annabella Sciorra,John Harrison,He-Man and She-Ra: The Secret of the Sword
Gordon Pinsent,Emilio Estevez,Into the Night
Vittorio Duse,James Orr,The Trip to Bountiful
Colin Firth,Patrick Read Johnson,Transylvania 6-5000
Winona Ryder,Howard Franklin,Red Sonja
Michael Chiklis,Harry Hook,Here Come the Littles
Jesse Birdsall,Ralph S. Singleton,Girls Just Want to Have Fun
David Bradley,Allan Moyle,Plenty
Randy Quaid,George Armitage,Rustlers' Rhapsody
Jim Brown,Rich Correll,Heaven Help Us
George Kennedy,Franco Amurri,Gymkata
Fred Savage,Tom Savini,Avenging Angel
Ron Fazio,Jean-Paul Rappeneau,Creator
Jim Lovell,Richard Stanley,King David
Bernadette Peters,Volker Schlöndorff,Day of the Dead
Sammi Davis,James F. Collier,Rainbow Brite and the Star Stealer
Richard E. Grant,James D. Parriott,The Mean Season
Laura Alcalde,Gregg Champion,That's Dancing!
A Martinez,Jan Egleson,My Science Project
Pat Mulligan,Whit Stillman,Godzilla 1985
David Byrne,Sondra Locke,The Heavenly Kid
Dexter Fletcher,Kristine Peterson,Ran
Louis Jourdan,Michael Verhoeven,Turk 182
Kathleen Bailey,James Bond III,The Bride
Alex McArthur,Paul Schibli,Starchaser: The Legend of Orin
Robert Lindsay,Ken Stein,Fraternity Vacation
Paul Scofield,Adam Simon,The Legend of Billie Jean
Todd Solondz,Katt Shea,Rappin'
Josef Sommer,Bob Logan,Fast Forward
Maggie Wheeler,Andy Blumenthal,Bad Medicine
Robyn Lively,Sally Mattison,Maxie
Matt Frewer,Marisa Silver,Marie
Sally Kirkland,John Boskovich,Dance with a Stranger
Matt Lattanzi,Charles Burnett,The Quiet Earth
Macaulay Culkin,Ken Loach,Re-Animator
Judith Hoag,Christopher Monger,Warning Sign
Johnny Depp,Diane Kurys,Bring on the Night
Kevin Peter Hall,Ellen Weissbrod,The Slugger's Wife
Liam Neeson,Sig Shore,American Flyers
Alex Vincent,James Scott,Certain Fury
Gérard Depardieu,Roger Corman,The Aviator
Christopher Reid,Frank Henenlotter,Wetherby
Andrew Dice Clay,Bruno Barreto,Dreamchild
George O'Hanlon,Bernard Rose,The Protector
Alan Young,Gene Quintano,Fool for Love
Kirstie Alley,Lucas Reiner,Pumping Iron II: The Women
Jenny Seagrove,Gary Trousdale,Fever Pitch
Debbie Harry,Barry Sonnenfeld,Code Name: Emerald
Leo Fuchs,Jon Avnet,Joshua Then and Now
Douglas Barr,John Singleton,Mishima: A Life in Four Chapters
Balthazar Getty,Mario Van Peebles,Morons from Outer Space
Anjelica Huston,Phil Nibbelink,The Holcroft Covenant
David Andrews,Peter Hewitt,Subway
Anthony Lucero,Brian Levant,Sylvester
Dana Carvey,Sheldon Lettich,Movers & Shakers
Eric Idle,Alek Keshishian,Revolution
Roger Rose,Mick Jackson,Private Resort
Joe Mantegna,Jodie Foster,Eleni
Tony Todd,Nadia Tass,The New Kids
Kate Hodge,Jack Bender,The Doctor and the Devils
Carl McCoy,Michael Karbelnikoff,Almost You
J. Eddie Peck,George Jackson,Fandango
Julia Nickson,Mary Agnes Donoghue,Wild Geese II
Patrick Bergin,Daniel Petrie Jr.,The Official Story
Dabney Coleman,Lasse Hallström,Trouble in Mind
Carolyn Farina,Ate de Jong,Smooth Talk
Bradley Gregg,Jerry Rees,When Father Was Away on Business
Lena Stolze,Bryan Gordon,Colonel Redl
Harvey Christiansen,Heywood Gould,Top Gun
Tim Roth,Bill Duke,Crocodile Dundee
James Bond III,Irwin Winkler,Platoon
Nelly Alard,Eric Red,Aliens
Billie Whitelaw,Dan Aykroyd,The Karate Kid Part II
Akira Terao,Kevin Hooks,Star Trek IV: The Voyage Home
Laura Harring,Lili Fini Zanuck,Legal Eagles
Miou-Miou,Burt Kennedy,Back to School
David McCallum,Martin Campbell,An American Tail
Christina Applegate,Lars von Trier,The Golden Child
Jared Rushton,Michael Lindsay-Hogg,Ruthless People
Juliette Caton,Charles Lane,Ferris Bueller's Day Off
Keely Christian,Peter Chelsom,Down and Out in Beverly Hills
Sandra Bernhard,Mark Herrier,The Fly
Paul Butler,James Lapine,The Money Pit
Frances McDormand,Jeffrey Hornaday,The Color of Money
Peter Scolari,Maurice Phillips,Stand by Me
Olivier Gruner,William A. Graham,Cobra
Louis Guzzo,Matty Rich,Police Academy 3: Back in Training
Nathalie Baye,George Gallo,Heartbreak Ridge
Clarence Avant,Krzysztof Kieslowski,Peggy Sue Got Married
Nathan Purdee,Claude Chabrol,Poltergeist II: The Other Side
James Lorinz,Peter Greenaway,Short Circuit
Gary Kroeger,Fax Bahr,Pretty in Pink
John Lahr,Michael Tolkin,¡Three Amigos!
Iain Glen,David Kellogg,Little Shop of Horrors
Mark Mothersbaugh,Rodman Flender,About Last Night...
Brad Dourif,Topper Carew,Running Scared
Julia Roberts,Sylvio Tabet,Howard the Duck
Kathy Bates,Todd Haynes,Gung Ho
Paige Turco,Jay Dubin,Hannah and Her Sisters
Hudhail Al-Amir,Peter Richardson,Nothing in Common
Wesley Snipes,Joel Bender,Children of a Lesser God
Billy Campbell,Joseph B. Vasquez,Jumpin' Jack Flash
Phillip Glasser,John McNaughton,Hoosiers
Kenneth Branagh,Jacques Rivette,Soul Man
Cathy Moriarty,Michael Jenkins,Wildcats
Martin Becker,Radha Bharadwaj,The Great Mouse Detective
Jed,Don Boyd,Heartburn
Brandon Quintin Adams,Isaac Julien,The Morning After
Scott Bakula,Sean Penn,Iron Eagle
Justin Whalin,Simon Callow,Crimes of the Heart
James Bonfanti,Stephen Poliakoff,Tough Guys
Robert Arkins,Michael Bortman,Friday the 13th Part VI: Jason Lives
Harley Jane Kozak,Adam Rifkin,House
Jeff Speakman,Peter Delpeut,Flight of the Navigator
Frank Whaley,Jeffrey Reiner,Jo Jo Dancer
Joe Pesci,John Gaspard,The Delta Force
Jeff Fahey,Thaddeus O'Sullivan,The Mission
Brian Bosworth,Frank De Felitta,Raw Deal
Peter Berg,David Fincher,Armed and Dangerous
Cindy Williams,Les Mayfield,Legend
Lothaire Bluteau,Roland Emmerich,Youngblood
Richard Grieco,Bill Kroyer,Psycho III
Tommy Davidson,Brett Leonard,The Mosquito Coast
Gabrielle Anwar,Brian Henson,Sweet Liberty
Laura Dern,Jon Turteltaub,One Crazy Summer
John Turturro,Norman René,Extremities
Jean-Marc Barr,Barnet Kellman,Critters
Terrence 'T.C.' Carson,Bruce A. Evans,April Fool's Day
Lenny Henry,Ernest R. Dickerson,Labyrinth
Ed O'Neill,Beeban Kidron,Club Paradise
Brian Flanagan,Fran Rubel Kuzui,No Mercy
Jill Schoelen,Billy Crystal,Brighton Beach Memoirs
Kristy Swanson,Randall Miller,Firewalker
Milla Jovovich,Edward James Olmos,Big Trouble in Little China
George T. Odom,Eugene Levy,Under the Cherry Moon
Irène Jacob,Bruce W. Smith,Murphy's Law
Isabelle Huppert,Manny Coto,SpaceCamp
John Gielgud,Darrell Roodt,Deadly Friend
Victoria Abril,Arne Glimcher,Manhunter
Mimi Rogers,Régis Wargnier,Blue Velvet
Naomi Campbell,Tony Maylam,Care Bears Movie II: A New Generation
Martin Lawrence,Gillies MacKinnon,Wise Guys
Beverly D'Angelo,Tim Robbins,Something Wild
Solveig Dommartin,Charlie Peters,Lucas
Edith Meeks,Andy Wolk,Haunted Honeymoon
Robbie Coltrane,Mark Herman,The Texas Chainsaw Massacre 2
Doug E. Doug,Nora Ephron,The Best of Times
Sachiko Murase,Quentin Tarantino,Quicksilver
Michael Joseph DeSare,Kenny Ortega,Maximum Overdrive
Michel Piccoli,Lizzie Borden,Witchboard
Alan Rickman,Edmund Coulthard,The Boy Who Could Fly
Robyn Stevan,Neal Jimenez,The Name of the Rose
Valentine Nonyela,Anthony Drazan,She's Gotta Have It
David Morse,Carl Franklin,Blue City
Kevin Anderson,Stephen Milburn Anderson,Trick or Treat
Tom Courtenay,Allison Anders,9½ Weeks
Lyda Borelli,Joe Berlinger,Black Moon Rising
Billy Zane,Bille August,Just Between Friends
Amelia Barnes,Jon Acevski,A Fine Mess
Donal McCann,Barry Primus,My Little Pony: The Movie
Sharon Stone,Mária Dobos,Highlander
Scott Weinger,Todd Sheets,The Transformers: The Movie
Mike Myers,Stephen Wallace,The Hitcher
Charles Grodin,Dale Launer,Crossroads
Jo Marr,Gregg Araki,Mona Lisa
Bridget Fonda,Mike Robe,Troll
Damon Wayans,Mike Binder,52 Pick-Up
Tim Curry,Mark Frost,Out of Bounds
Brian Krause,Nick Broomfield,Vamp
Victor Wong,Barbara Trent,Invaders from Mars
D.B. Sweeney,Alexandre Rockwell,Band of the Hand
Dolly Parton,John Mellencamp,American Anthem
Omar Epps,Mark Joffe,Off Beat
Edward Furlong,Stacy Cochran,My Chauffeur
