Title,Actors,Director
Sean Astin,Arna Selznick,The Last American Virgin
Mark Stewart,Danny Steinmann,Megaforce
Emilio Estevez,James Komack,Personal Best
Cher,Andrew Davis,Paradise
Mikhail Baryshnikov,Hector Babenco,Cannery Row
Paul Reubens,Jonathan Lynn,Heidi's Song
Maria Mayenzet,Dan O'Bannon,Tempest
Anthony Michael Hall,Herb Freed,Summer Lovers
Mark Patton,Ken Kwapis,Honkytonk Man
Taimak,Phillip Borsos,Jekyll and Hyde... Together Again
Chris Sarandon,Daniel Attias,Wrong Is Right
John Candy,Lisa Gottlieb,Fighting Back
Powers Boothe,Walter Murch,Penitentiary II
Anthony Barrile,Lance Hool,The Challenge
Grant Bardsley,Savage Steve Holland,Homework
Nicholas Rowe,Howard Storm,Jinxed!
Mickey Rourke,Arthur Penn,It Came from Hollywood
John Cusack,David Greenwalt,A Stranger Is Watching
William Petersen,Bud Yorkin,A Little Sex
Richard Chamberlain,Simon Wincer,Yes
Eileen Brennan,Andrey Konchalovskiy,Barbarosa
Fred Ward,Ed Friedman,I
Clu Gulager,Peter Masterson,Endangered Species
Michael Blevins,Rudy De Luca,The Sender
Betsy Russell,Bernard Deyriès,Lookin' to Get Out
Caroll Spinney,Alan Metter,Come Back to the 5 & Dime Jimmy Dean
Mary Steenburgen,Michael Dinner,The House Where Evil Dwells
Drew Barrymore,Jack Haley Jr.,One from the Heart
Ramey Ellis,Jonathan R. Betuel,Monty Python Live at the Hollywood Bowl
Susan Sarandon,Koji Hashimoto,I'm Dancing as Fast as I Can
Joyce Hyser,Cary Medoway,Split Image
Fairuza Balk,Steven Hahn,Five Days One Summer
Sheila E.,Harvey Miller,The Escape Artist
Anthony Edwards,Paul Aaron,Bugs Bunny's 3rd Movie: 1001 Rabbit Tales
Mia Farrow,Geoff Murphy,Movie Madness
John Murray,Stuart Gordon,White Dog
Griffin Dunne,Hal Barwood,Hammett
Michael Dudikoff,Stephen Gyllenhaal,Ladies and Gentlemen
Lauren Hutton,David Hare,Love & Money
